instance_id;x;y
ID;36477.80296;8128.49539
UN;-17189.38162;8128.49539
AN;1092.13228;15397.8453
ST;19088.42719;-543.41459
Impartial Culture_0;-16005.21796;1433.2548
Impartial Culture_1;-15736.98114;1159.79731
Impartial Culture_2;-16089.17672;1609.84811
Impartial Culture_3;-16092.81066;1661.46771
Impartial Culture_4;-15502.1158;931.36693
Impartial Culture_5;-16262.8846;1873.0664
Impartial Culture_6;-16514.53696;2121.34241
Impartial Culture_7;-16145.06275;1705.29782
Impartial Culture_8;-15730.6369;1199.29434
Impartial Culture_9;-16488.02056;2086.53991
Impartial Culture_10;-16106.50762;1672.75489
Impartial Culture_11;-15760.12606;1156.28885
Impartial Culture_12;-15854.33794;1323.38945
Impartial Culture_13;-15875.67792;1289.33521
Impartial Culture_14;-16131.60411;1593.47256
Impartial Culture_15;-15820.42689;1215.56443
Impartial Culture_16;-15795.21062;1269.97359
Impartial Culture_17;-15862.5483;1288.00542
Impartial Culture_18;-15809.0143;1324.01604
Impartial Culture_19;-16633.99788;2408.85113
SP by Conitzer_0;-3236.79151;-3313.04173
SP by Conitzer_1;-3174.39967;-2813.9264
SP by Conitzer_2;-4484.6971;-2471.43181
SP by Conitzer_3;-1131.03575;-2033.09802
SP by Conitzer_4;-4801.63113;-1386.15651
SP by Conitzer_5;-3160.81604;-2577.54731
SP by Conitzer_6;-4965.44213;-1122.49746
SP by Conitzer_7;-5155.27975;-710.20621
SP by Conitzer_8;-4653.14608;-1173.29183
SP by Conitzer_9;-4816.68596;-1137.63493
SP by Conitzer_10;-5511.49991;59.93396
SP by Conitzer_11;-4107.7348;-2450.29415
SP by Conitzer_12;-4624.58662;-2183.22284
SP by Conitzer_13;-5178.74069;-730.476
SP by Conitzer_14;-5043.77378;-1137.34666
SP by Conitzer_15;-3921.6913;-3288.25955
SP by Conitzer_16;-2454.19827;-2754.05696
SP by Conitzer_17;-4241.03179;-1514.47221
SP by Conitzer_18;-3261.35396;-2876.8023
SP by Conitzer_19;-5441.36049;-136.10077
SP by Walsh_0;30191.11833;2856.60993
SP by Walsh_1;30386.80908;3047.47915
SP by Walsh_2;30657.33567;3214.44965
SP by Walsh_3;30640.4749;3306.85714
SP by Walsh_4;30189.20633;2797.68661
SP by Walsh_5;30784.56803;3307.74551
SP by Walsh_6;30095.06839;2726.37419
SP by Walsh_7;30550.55988;3188.35224
SP by Walsh_8;30742.83664;3335.47452
SP by Walsh_9;30637.96278;3170.85474
SP by Walsh_10;30389.61072;2972.06617
SP by Walsh_11;30786.39012;3333.70448
SP by Walsh_12;30268.71805;2871.40811
SP by Walsh_13;30130.7069;2796.43907
SP by Walsh_14;30675.75533;3328.0754
SP by Walsh_15;30293.26599;2936.26144
SP by Walsh_16;30305.69037;2938.37644
SP by Walsh_17;30501.79918;3029.68102
SP by Walsh_18;29906.81307;2532.62753
SP by Walsh_19;31106.93738;3709.53606
SPOC_0;-16335.93506;1682.45654
SPOC_1;-16586.87099;3654.58347
SPOC_2;-16135.19704;2221.87852
SPOC_3;-14056.02073;-526.95103
SPOC_4;-15668.54172;1055.61218
SPOC_5;-16941.09222;4900.46864
SPOC_6;-17058.64736;4507.49624
SPOC_7;-16996.35965;3942.10414
SPOC_8;-16499.13834;2008.88209
SPOC_9;-14367.09379;-151.46723
SPOC_10;-13765.62193;-1036.78967
SPOC_11;-15643.88723;1070.19678
SPOC_12;-16484.19361;2256.35715
SPOC_13;-15252.4909;718.61412
SPOC_14;-16216.97738;1866.68724
SPOC_15;-16980.05865;5674.33608
SPOC_16;-16176.51908;1939.49763
SPOC_17;-16368.11652;1979.43834
SPOC_18;-12418.50706;-2476.13709
SPOC_19;-15049.45875;866.85045
Single-Crossing_0;7991.88672;-4491.38561
Single-Crossing_1;6697.10055;-4668.26494
Single-Crossing_2;7259.92944;-4248.21389
Single-Crossing_3;7474.19298;-4815.91841
Single-Crossing_4;7356.48397;-4770.44048
Single-Crossing_5;9220.08382;-4857.05732
Single-Crossing_6;4893.74518;-4174.85911
Single-Crossing_7;7650.21261;-4707.77265
Single-Crossing_8;9519.36989;-5075.68895
Single-Crossing_9;5854.30209;-4385.27229
Single-Crossing_10;6609.81992;-4100.02112
Single-Crossing_11;5362.0059;-4271.3684
Single-Crossing_12;7108.82758;-4551.11142
Single-Crossing_13;5409.47684;-4557.17642
Single-Crossing_14;7618.22355;-4426.69764
Single-Crossing_15;8650.16538;-4389.98059
Single-Crossing_16;6947.57729;-4799.44806
Single-Crossing_17;7508.39682;-4844.83038
Single-Crossing_18;6288.64795;-4333.44805
Single-Crossing_19;6084.02368;-4485.0595
1D Uniform_0;-4267.40839;-2328.35066
1D Uniform_1;-4564.87239;-773.18955
1D Uniform_2;-4073.67709;-1922.65417
1D Uniform_3;-5531.14413;-671.09875
1D Uniform_4;-4814.43178;-1538.0923
1D Uniform_5;-3211.06432;-2725.00426
1D Uniform_6;-3317.37439;-1887.28485
1D Uniform_7;-5371.59762;-537.99354
1D Uniform_8;-4886.62382;-358.85231
1D Uniform_9;-3859.85976;-1749.22629
1D Uniform_10;-2687.63264;-3158.33255
1D Uniform_11;-4080.28599;-3173.70305
1D Uniform_12;-1927.2333;-1505.92373
1D Uniform_13;-5613.80771;-47.76229
1D Uniform_14;-3874.07574;-1556.08795
1D Uniform_15;-5072.22782;-1020.89621
1D Uniform_16;-3746.33576;-418.03829
1D Uniform_17;-4587.15556;-1909.02333
1D Uniform_18;-4081.367;-3010.58941
1D Uniform_19;-4674.68108;-746.29735
2D Uniform_0;-6467.77873;-4468.16801
2D Uniform_1;-6028.02084;-5244.35994
2D Uniform_2;-6145.50062;-5399.68979
2D Uniform_3;-4136.1732;-5894.24916
2D Uniform_4;-5640.05632;-5835.45249
2D Uniform_5;-7344.33276;-4203.0177
2D Uniform_6;-6982.79319;-4900.18418
2D Uniform_7;-6510.46427;-5225.75209
2D Uniform_8;-7646.08379;-4201.83267
2D Uniform_9;-3066.23627;-6237.96913
2D Uniform_10;-6253.45889;-5292.04659
2D Uniform_11;-6504.24908;-5356.32694
2D Uniform_12;-5017.4145;-5926.80228
2D Uniform_13;-6957.12506;-5151.99863
2D Uniform_14;-5901.87141;-5899.14609
2D Uniform_15;-6622.62737;-5603.21214
2D Uniform_16;-7539.50715;-4774.09504
2D Uniform_17;-6404.73941;-5002.19029
2D Uniform_18;-4348.77053;-5725.1228
2D Uniform_19;-7687.02031;-4519.17474
3D Uniform_0;-4879.75193;-6482.13382
3D Uniform_1;-5397.26692;-6525.38361
3D Uniform_2;-8077.22442;-5761.21351
3D Uniform_3;-7802.48811;-5662.1299
3D Uniform_4;-3651.63474;-6668.80674
3D Uniform_5;-6191.47951;-6190.49415
3D Uniform_6;-5272.16251;-6272.24796
3D Uniform_7;-5476.82737;-6647.41032
3D Uniform_8;-8262.48879;-5664.54206
3D Uniform_9;-6283.22923;-6241.13796
3D Uniform_10;-5099.8923;-6709.39348
3D Uniform_11;-6350.81156;-6053.4977
3D Uniform_12;-7070.08465;-6138.37948
3D Uniform_13;-7058.15686;-5748.55681
3D Uniform_14;-5153.35021;-6286.4248
3D Uniform_15;-7116.76294;-6019.3739
3D Uniform_16;-7165.43964;-5921.51099
