instance_id;x;y
ID;2138.04841;-62.88724
UN;-1310.28161;-62.88724
AN;-429.13751;1471.19591
ST;858.26397;-1330.17258
Impartial Culture_0;-988.86222;-11.29375
Impartial Culture_1;-939.03311;-72.25188
Impartial Culture_2;-1017.97721;-29.4705
Impartial Culture_3;-1003.70211;19.41747
Impartial Culture_4;-907.91936;-44.65474
Impartial Culture_5;-1009.51415;63.23774
Impartial Culture_6;-1056.61237;-13.13921
Impartial Culture_7;-1046.72937;-60.57382
Impartial Culture_8;-989.47671;-140.54181
Impartial Culture_9;-1043.46376;17.23093
Impartial Culture_10;-988.78001;38.78842
Impartial Culture_11;-941.46246;-40.25046
Impartial Culture_12;-948.83246;55.13793
Impartial Culture_13;-975.30474;-86.46319
Impartial Culture_14;-1046.26307;-105.24641
Impartial Culture_15;-982.89308;-108.6521
Impartial Culture_16;-918.88863;24.86124
Impartial Culture_17;-946.09202;10.62154
Impartial Culture_18;-921.57654;62.99288
Impartial Culture_19;-1095.95104;-56.67157
SP by Conitzer_0;-66.40121;351.5133
SP by Conitzer_1;-47.43859;415.11949
SP by Conitzer_2;-280.38832;405.75228
SP by Conitzer_3;140.29794;444.6784
SP by Conitzer_4;-258.73473;519.45245
SP by Conitzer_5;-16.54234;453.08841
SP by Conitzer_6;-328.18118;534.66773
SP by Conitzer_7;-339.2306;595.1581
SP by Conitzer_8;-215.45214;544.93988
SP by Conitzer_9;-208.75057;579.96345
SP by Conitzer_10;-371.24986;694.19248
SP by Conitzer_11;-159.4373;452.88434
SP by Conitzer_12;-320.3155;430.10189
SP by Conitzer_13;-308.13041;626.65769
SP by Conitzer_14;-390.68821;510.22204
SP by Conitzer_15;-149.14843;368.44711
SP by Conitzer_16;63.34149;371.85265
SP by Conitzer_17;-158.50803;573.88779
SP by Conitzer_18;-86.86067;403.05251
SP by Conitzer_19;-329.01691;698.78143
SP by Walsh_0;1737.68734;-453.23399
SP by Walsh_1;1791.80956;-461.35277
SP by Walsh_2;1776.2893;-364.57816
SP by Walsh_3;1801.87229;-385.59171
SP by Walsh_4;1761.84458;-466.61364
SP by Walsh_5;1781.53968;-341.55701
SP by Walsh_6;1718.48992;-411.86428
SP by Walsh_7;1806.75218;-444.76762
SP by Walsh_8;1805.39099;-358.55641
SP by Walsh_9;1779.03646;-401.10542
SP by Walsh_10;1753.68526;-389.60639
SP by Walsh_11;1822.21863;-416.67694
SP by Walsh_12;1725.68263;-368.1594
SP by Walsh_13;1720.53394;-389.31989
SP by Walsh_14;1795.27568;-420.72872
SP by Walsh_15;1767.08912;-442.18916
SP by Walsh_16;1744.18567;-422.60194
SP by Walsh_17;1747.26267;-351.92237
SP by Walsh_18;1708.80314;-439.55298
SP by Walsh_19;1833.80479;-387.1343
SPOC_0;-1055.60595;-162.9103
SPOC_1;-1084.6101;134.16225
SPOC_2;-976.75403;152.86446
SPOC_3;-850.91128;-186.55851
SPOC_4;-1018.36144;-201.69231
SPOC_5;-1214.14831;-52.68141
SPOC_6;-1185.81125;-27.58629
SPOC_7;-1175.9402;-88.66676
SPOC_8;-1086.7438;-140.06388
SPOC_9;-816.7479;18.44318
SPOC_10;-848.41834;-229.07888
SPOC_11;-995.67976;-178.95059
SPOC_12;-1105.85402;-123.66192
SPOC_13;-976.35303;-198.74554
SPOC_14;-1075.64866;-87.16255
SPOC_15;-1233.73264;-22.39825
SPOC_16;-995.45709;95.21916
SPOC_17;-1078.19078;-166.89333
SPOC_18;-738.45932;-246.82418
SPOC_19;-870.7661;82.50817
Single-Crossing_0;667.28132;-234.5743
