instance_id;x;y
ID;1.06102;-0.97148
UN;0.91464;-0.97148
AN;0.97016;-0.93023
ST;1.01075;-1.04273
Impartial Culture_0;0.91608;-1.00494
Impartial Culture_1;0.91648;-1.00741
Impartial Culture_2;0.91605;-1.00394
Impartial Culture_3;0.91614;-1.00365
Impartial Culture_4;0.91687;-1.00959
Impartial Culture_5;0.91589;-1.00216
Impartial Culture_6;0.91567;-1.00032
Impartial Culture_7;0.91604;-1.00318
Impartial Culture_8;0.9166;-1.00727
Impartial Culture_9;0.91572;-1.00064
Impartial Culture_10;0.91608;-1.00355
Impartial Culture_11;0.91642;-1.00733
Impartial Culture_12;0.91642;-1.00608
Impartial Culture_13;0.91629;-1.00616
Impartial Culture_14;0.91594;-1.00376
Impartial Culture_15;0.91633;-1.00679
Impartial Culture_16;0.91651;-1.0066
Impartial Culture_17;0.91634;-1.00621
Impartial Culture_18;0.91652;-1.00641
Impartial Culture_19;0.91556;-0.99883
SP by Conitzer_0;0.95346;-1.05021
SP by Conitzer_1;0.95379;-1.0473
SP by Conitzer_2;0.95046;-1.04189
SP by Conitzer_3;0.95968;-1.04754
SP by Conitzer_4;0.95004;-1.033
SP by Conitzer_5;0.95366;-1.04512
SP by Conitzer_6;0.94975;-1.02973
SP by Conitzer_7;0.94932;-1.02417
SP by Conitzer_8;0.95026;-1.031
SP by Conitzer_9;0.94994;-1.02982
SP by Conitzer_10;0.94958;-1.0154
SP by Conitzer_11;0.95153;-1.04212
SP by Conitzer_12;0.94999;-1.03952
SP by Conitzer_13;0.94948;-1.02434
SP by Conitzer_14;0.94949;-1.0302
SP by Conitzer_15;0.95203;-1.04891
SP by Conitzer_16;0.95602;-1.05044
SP by Conitzer_17;0.95104;-1.03317
SP by Conitzer_18;0.95343;-1.04761
SP by Conitzer_19;0.9495;-1.01746
SP by Walsh_0;1.04689;-1.02069
SP by Walsh_1;1.04752;-1.01958
SP by Walsh_2;1.0482;-1.01826
SP by Walsh_3;1.04824;-1.01782
SP by Walsh_4;1.04691;-1.02109
SP by Walsh_5;1.04848;-1.01749
SP by Walsh_6;1.04668;-1.02157
SP by Walsh_7;1.04795;-1.01857
SP by Walsh_8;1.04849;-1.01748
SP by Walsh_9;1.04811;-1.01846
SP by Walsh_10;1.04749;-1.01992
SP by Walsh_11;1.04853;-1.01744
SP by Walsh_12;1.04709;-1.02051
SP by Walsh_13;1.04685;-1.02122
SP by Walsh_14;1.04833;-1.01768
SP by Walsh_15;1.04725;-1.02023
SP by Walsh_16;1.04726;-1.02014
SP by Walsh_17;1.04771;-1.01938
SP by Walsh_18;1.04612;-1.02282
SP by Walsh_19;1.04945;-1.01497
SPOC_0;0.91549;-1.00217
SPOC_1;0.91686;-0.99395
SPOC_2;0.9172;-1.00077
SPOC_3;0.9199;-1.02337
SPOC_4;0.9169;-1.00779
SPOC_5;0.91517;-0.98649
SPOC_6;0.91473;-0.98755
SPOC_7;0.915;-0.99052
SPOC_8;0.91553;-1.00055
SPOC_9;0.91924;-1.0196
SPOC_10;0.92055;-1.02778
SPOC_11;0.91691;-1.00811
SPOC_12;0.91603;-0.99989
SPOC_13;0.91782;-1.01125
SPOC_14;0.91632;-1.00225
SPOC_15;0.91496;-0.98274
SPOC_16;0.91655;-1.0022
SPOC_17;0.91613;-1.00165
SPOC_18;0.92423;-1.04233
SPOC_19;0.91863;-1.01204
Single-Crossing_0;0.98665;-1.07889
Single-Crossing_1;0.98268;-1.08085
Single-Crossing_2;0.98444;-1.07592
Single-Crossing_3;0.98474;-1.08169
Single-Crossing_4;0.98441;-1.08088
Single-Crossing_5;0.98964;-1.08148
Single-Crossing_6;0.97743;-1.07581
Single-Crossing_7;0.98537;-1.08015
Single-Crossing_8;0.9906;-1.08388
Single-Crossing_9;0.98;-1.07659
Single-Crossing_10;0.98246;-1.07415
Single-Crossing_11;0.97886;-1.07529
Single-Crossing_12;0.98384;-1.0788
Single-Crossing_13;0.97901;-1.07793
Single-Crossing_14;0.9854;-1.07733
Single-Crossing_15;0.98838;-1.07782
Single-Crossing_16;0.9835;-1.08159
Single-Crossing_17;0.98503;-1.08161
Single-Crossing_18;0.98166;-1.0772
Single-Crossing_19;0.98087;-1.07795
1D Uniform_0;0.95053;-1.04001
1D Uniform_1;0.95162;-1.02644
1D Uniform_2;0.95211;-1.03852
1D Uniform_3;0.94822;-1.02285
1D Uniform_4;0.9501;-1.03587
1D Uniform_5;0.95406;-1.04593
1D Uniform_6;0.95324;-1.03708
1D Uniform_7;0.94923;-1.02146
1D Uniform_8;0.95102;-1.02042
1D Uniform_9;0.95182;-1.03605
1D Uniform_10;0.95518;-1.05069
1D Uniform_11;0.95119;-1.0479
1D Uniform_12;0.95728;-1.03898
1D Uniform_13;0.94908;-1.01618
1D Uniform_14;0.95205;-1.03398
1D Uniform_15;0.94957;-1.0279
1D Uniform_16;0.95481;-1.02356
1D Uniform_17;0.9502;-1.03786
1D Uniform_18;0.95132;-1.04681
1D Uniform_19;0.95123;-1.02563
2D Uniform_0;0.94365;-1.06604
2D Uniform_1;0.94546;-1.07214
2D Uniform_2;0.94498;-1.07425
2D Uniform_3;0.95043;-1.08204
2D Uniform_4;0.94625;-1.07809
