instance_id;x;y
ID;2148.08475;60.18924
UN;-1248.45649;60.18924
AN;-265.27794;1403.3877
ST;965.44587;-1205.36897
Impartial Culture_0;-976.33496;45.38277
Impartial Culture_1;-959.05115;8.09847
Impartial Culture_2;-993.57577;19.25956
Impartial Culture_3;-982.80581;63.4758
Impartial Culture_4;-937.56422;15.49298
Impartial Culture_5;-1000.20344;54.09542
Impartial Culture_6;-1019.62466;41.50682
Impartial Culture_7;-996.58483;35.96357
Impartial Culture_8;-949.73927;53.48538
Impartial Culture_9;-1005.88363;79.76421
Impartial Culture_10;-980.17828;75.82582
Impartial Culture_11;-957.57318;24.15561
Impartial Culture_12;-964.42659;46.78009
Impartial Culture_13;-977.38236;-18.30945
Impartial Culture_14;-999.55845;-2.3122
Impartial Culture_15;-967.47483;0.89375
Impartial Culture_16;-952.59634;72.65469
Impartial Culture_17;-973.77428;-1.62
Impartial Culture_18;-955.83797;67.82684
Impartial Culture_19;-1034.03437;39.28426
SP by Conitzer_0;-111.84957;389.83985
SP by Conitzer_1;-169.25767;-457.00588
SP by Conitzer_2;-220.66747;448.5036
SP by Conitzer_3;33.71208;458.42538
SP by Conitzer_4;-249.13784;515.21221
SP by Conitzer_5;-113.72741;437.86547
SP by Conitzer_6;-271.65922;546.23951
SP by Conitzer_7;-297.42868;576.61477
SP by Conitzer_8;-240.92815;528.86877
SP by Conitzer_9;-256.47026;539.34992
SP by Conitzer_10;-543.9773;-546.59811
SP by Conitzer_11;-187.7164;455.59262
SP by Conitzer_12;-236.87667;462.96816
SP by Conitzer_13;-296.91687;584.37888
SP by Conitzer_14;-283.02035;535.73879
SP by Conitzer_15;-266.60659;-511.84329
SP by Conitzer_16;-45.851;406.26833
SP by Conitzer_17;-216.41446;521.5502
SP by Conitzer_18;-115.67856;414.53527
SP by Conitzer_19;-324.39314;633.56251
SP by Walsh_0;1735.8823;-283.52461
SP by Walsh_1;1749.45751;-251.25347
SP by Walsh_2;1765.67199;-267.83278
SP by Walsh_3;1767.00007;-245.03743
SP by Walsh_4;1734.2352;-276.75623
SP by Walsh_5;1774.12987;-278.7393
SP by Walsh_6;1728.56742;-271.06143
SP by Walsh_7;1760.24774;-256.1509
SP by Walsh_8;1772.95385;-253.51879
SP by Walsh_9;1763.76547;-278.27225
SP by Walsh_10;1747.85753;-270.88598
SP by Walsh_11;1774.46691;-268.37628
SP by Walsh_12;1739.95441;-288.03112
SP by Walsh_13;1731.84477;-255.94738
SP by Walsh_14;1768.59898;-249.23205
SP by Walsh_15;1742.40469;-262.21462
SP by Walsh_16;1743.39516;-270.00048
SP by Walsh_17;1754.06499;-289.17861
SP by Walsh_18;1715.75349;-280.3982
SP by Walsh_19;1796.5323;-247.50093
SPOC_0;-1030.19973;-56.29472
SPOC_1;-1032.89578;168.13788
SPOC_2;-990.51959;145.41391
SPOC_3;-852.19434;-85.51519
