instance_id;x;y
ID;-0.09186;0.13665
UN;-0.10935;0.13665
AN;-0.10355;0.12815
ST;-0.09454;0.13353
Impartial Culture_0;-0.10952;0.13675
Impartial Culture_1;-0.10949;0.13662
Impartial Culture_2;-0.10952;0.13679
Impartial Culture_3;-0.10951;0.13677
Impartial Culture_4;-0.10945;0.1365
Impartial Culture_5;-0.10951;0.13679
Impartial Culture_6;-0.1095;0.1368
Impartial Culture_7;-0.10951;0.13679
Impartial Culture_8;-0.10948;0.13661
Impartial Culture_9;-0.1095;0.1368
Impartial Culture_10;-0.10951;0.13678
Impartial Culture_11;-0.1095;0.13663
Impartial Culture_12;-0.10951;0.1367
Impartial Culture_13;-0.10951;0.1367
Impartial Culture_14;-0.10952;0.13679
Impartial Culture_15;-0.10951;0.13667
Impartial Culture_16;-0.10949;0.13664
Impartial Culture_17;-0.10951;0.1367
Impartial Culture_18;-0.10949;0.13665
Impartial Culture_19;-0.10949;0.1368
SP by Conitzer_0;-0.10361;0.12439
SP by Conitzer_1;-0.10359;0.12442
SP by Conitzer_2;-0.10373;0.12436
SP by Conitzer_3;-0.10315;0.12471
SP by Conitzer_4;-0.10371;0.12439
SP by Conitzer_5;-0.10356;0.12444
SP by Conitzer_6;-0.10371;0.12479
SP by Conitzer_7;-0.10371;0.12524
SP by Conitzer_8;-0.10371;0.1244
SP by Conitzer_9;-0.10371;0.1244
SP by Conitzer_10;-0.10372;0.12538
SP by Conitzer_11;-0.10371;0.12437
SP by Conitzer_12;-0.10373;0.12436
SP by Conitzer_13;-0.10371;0.12523
SP by Conitzer_14;-0.10371;0.1244
SP by Conitzer_15;-0.10369;0.12437
SP by Conitzer_16;-0.1034;0.12454
SP by Conitzer_17;-0.1037;0.12441
SP by Conitzer_18;-0.10361;0.12442
SP by Conitzer_19;-0.10371;0.12534
SP by Walsh_0;-0.09214;0.13633
SP by Walsh_1;-0.09208;0.1364
SP by Walsh_2;-0.09202;0.13646
SP by Walsh_3;-0.09204;0.13644
SP by Walsh_4;-0.09218;0.13628
SP by Walsh_5;-0.09202;0.13646
SP by Walsh_6;-0.09221;0.13625
SP by Walsh_7;-0.09205;0.13643
SP by Walsh_8;-0.09202;0.13646
SP by Walsh_9;-0.09203;0.13646
SP by Walsh_10;-0.09208;0.1364
SP by Walsh_11;-0.09202;0.13646
SP by Walsh_12;-0.09214;0.13633
SP by Walsh_13;-0.09218;0.13628
