instance_id;x;y
ID;35.33351;20.07137
UN;-18.01279;20.07137
AN;-2.57939;21.76538
ST;26.87287;4.17513
Impartial Culture_0;-21.86688;7.06462
Impartial Culture_1;-21.30236;4.94244
Impartial Culture_2;-21.32958;8.05308
Impartial Culture_3;-21.88789;8.31587
Impartial Culture_4;-21.00057;3.39737
Impartial Culture_5;-21.36369;9.75198
Impartial Culture_6;-21.12112;11.59993
Impartial Culture_7;-21.4032;8.87326
Impartial Culture_8;-21.78041;4.90878
Impartial Culture_9;-21.2058;11.08391
Impartial Culture_10;-21.89932;8.37295
Impartial Culture_11;-21.13732;5.07847
Impartial Culture_12;-21.98402;6.17379
Impartial Culture_13;-20.95136;6.06414
Impartial Culture_14;-21.11322;8.31173
Impartial Culture_15;-21.13079;5.5078
Impartial Culture_16;-22.00788;5.54344
Impartial Culture_17;-21.60864;6.06337
Impartial Culture_18;-22.08211;5.72173
Impartial Culture_19;-21.0809;12.49198
SP by Conitzer_0;-31.00999;-34.66149
SP by Conitzer_1;-31.39206;-34.14425
SP by Conitzer_2;-32.61101;-35.69964
SP by Conitzer_3;-30.61478;-32.92402
SP by Conitzer_4;-33.80974;-34.79216
SP by Conitzer_5;-31.70622;-33.7011
SP by Conitzer_6;-34.38666;-34.95324
SP by Conitzer_7;-35.03162;-34.30858
SP by Conitzer_8;-33.89672;-34.15168
SP by Conitzer_9;-34.20289;-34.42893
SP by Conitzer_10;-35.92264;-33.74396
SP by Conitzer_11;-32.36382;-35.14402
SP by Conitzer_12;-33.05604;-35.60175
SP by Conitzer_13;-35.06966;-34.64213
SP by Conitzer_14;-34.35279;-35.37924
SP by Conitzer_15;-31.47931;-35.42956
SP by Conitzer_16;-30.78566;-33.55494
SP by Conitzer_17;-33.50803;-34.03777
SP by Conitzer_18;-31.38867;-34.18043
SP by Conitzer_19;-35.74869;-34.02309
SP by Walsh_0;33.04064;12.64946
SP by Walsh_1;32.05347;13.95569
SP by Walsh_2;33.28017;13.75241
SP by Walsh_3;32.40168;14.36461
SP by Walsh_4;32.44499;13.00957
SP by Walsh_5;33.90182;13.86459
SP by Walsh_6;32.65258;12.52269
SP by Walsh_7;32.84097;13.79395
SP by Walsh_8;33.04813;14.2146
SP by Walsh_9;33.76443;13.42093
SP by Walsh_10;32.92132;13.27869
SP by Walsh_11;33.54378;14.06173
SP by Walsh_12;33.28502;12.76163
SP by Walsh_13;31.9299;13.30569
SP by Walsh_14;32.59183;14.32578
SP by Walsh_15;32.02742;13.68848
SP by Walsh_16;32.54417;13.38282
SP by Walsh_17;33.55796;13.15529
SP by Walsh_18;32.21253;12.47736
SP by Walsh_19;33.88625;14.51476
SPOC_0;-23.57649;12.28401
SPOC_1;-19.13959;15.19296
SPOC_2;-22.5771;11.30396
SPOC_3;-18.95068;-1.62304
SPOC_4;-22.76447;3.80571
SPOC_5;-19.32867;18.46787
SPOC_6;-19.69382;18.3038
SPOC_7;-20.24569;17.81534
SPOC_8;-23.26498;12.54893
SPOC_9;-19.58061;-1.00277
SPOC_10;-18.30464;-2.23875
SPOC_11;-22.15111;3.92634
SPOC_12;-22.10806;12.46922
SPOC_13;-21.62113;2.00886
SPOC_14;-22.17108;10.35998
SPOC_15;-18.82798;19.04798
SPOC_16;-22.32324;9.63913
SPOC_17;-22.70318;12.01421
SPOC_18;-17.34396;-3.76351
SPOC_19;-21.5493;1.34075
Single-Crossing_0;17.27466;-1.32449
Single-Crossing_1;16.36076;-2.47177
Single-Crossing_2;16.51406;-1.25165
Single-Crossing_3;17.21582;-2.34105
Single-Crossing_4;16.93658;-2.13228
Single-Crossing_5;18.16386;-1.70223
Single-Crossing_6;14.86666;-2.19737
Single-Crossing_7;17.18447;-1.76022
Single-Crossing_8;18.40556;-1.8338
Single-Crossing_9;15.66045;-2.0714
Single-Crossing_10;15.99646;-1.37986
Single-Crossing_11;15.19441;-1.8847
Single-Crossing_12;16.54889;-1.77891
Single-Crossing_13;15.43612;-2.48632
Single-Crossing_14;16.86935;-1.2899
Single-Crossing_15;17.70385;-1.26374
Single-Crossing_16;16.56706;-2.5148
Single-Crossing_17;17.17992;-2.15986
Single-Crossing_18;15.89033;-1.71813
Single-Crossing_19;15.88499;-2.32757
1D Uniform_0;-32.71839;-34.63603
1D Uniform_1;-34.52988;-33.70507
1D Uniform_2;-32.81264;-34.8485
1D Uniform_3;-35.44718;-35.08028
1D Uniform_4;-33.5841;-35.32911
1D Uniform_5;-31.64849;-34.29562
