instance_id;x;y
Impartial Culture_0;-0.19927;0.50381
Impartial Culture_1;-0.049;0.70284
Impartial Culture_2;-0.02572;0.60437
Impartial Culture_3;-0.04423;0.64247
Impartial Culture_4;-0.24535;0.54113
Impartial Culture_5;-0.18109;0.72059
Impartial Culture_6;0.04291;0.56379
Impartial Culture_7;-0.26244;0.71524
Impartial Culture_8;-0.24467;0.3933
Impartial Culture_9;-0.07675;0.33262
Impartial Culture_10;-0.09073;0.65021
Impartial Culture_11;-0.24853;0.61882
Impartial Culture_12;-0.19468;0.63169
Impartial Culture_13;-0.00047;0.68196
Impartial Culture_14;0.03491;0.64619
Impartial Culture_15;-0.04145;0.43063
Impartial Culture_16;0.00546;0.39122
Impartial Culture_17;-0.17661;0.67418
Impartial Culture_18;-0.22648;0.45237
Impartial Culture_19;-0.0951;0.50193
SP by Conitzer_0;-0.56642;-0.11986
SP by Conitzer_1;-0.50882;-0.15213
SP by Conitzer_2;-0.19265;-0.20213
SP by Conitzer_3;-0.19538;-0.25271
SP by Conitzer_4;-0.32651;-0.06449
SP by Conitzer_5;-0.44128;-0.14423
SP by Conitzer_6;-0.26949;-0.21114
SP by Conitzer_7;-0.39223;-0.08683
SP by Conitzer_8;-0.32279;-0.11607
SP by Conitzer_9;-0.24279;-0.26704
SP by Conitzer_10;-0.39569;-0.19815
SP by Conitzer_11;-0.37424;-0.14449
SP by Conitzer_12;-0.53436;-0.04608
SP by Conitzer_13;-0.2497;-0.15886
SP by Conitzer_14;-0.51472;-0.20752
SP by Conitzer_15;-0.50506;-0.09816
SP by Conitzer_16;-0.46344;-0.02973
SP by Conitzer_17;-0.46242;-0.19516
SP by Conitzer_18;-0.2861;-0.1163
SP by Conitzer_19;-0.32189;-0.19519
SP by Walsh_0;0.22201;-0.80043
SP by Walsh_1;0.21136;-0.55308
SP by Walsh_2;0.02549;-0.79827
SP by Walsh_3;0.32804;-0.6242
SP by Walsh_4;0.10248;-0.6419
SP by Walsh_5;0.04427;-0.68862
SP by Walsh_6;0.14218;-0.57803
SP by Walsh_7;0.00578;-0.62304
SP by Walsh_8;0.17706;-0.64458
SP by Walsh_9;0.23809;-0.72004
SP by Walsh_10;0.1019;-0.73262
SP by Walsh_11;0.15519;-0.81466
SP by Walsh_12;0.27905;-0.57884
SP by Walsh_13;0.08454;-0.80166
SP by Walsh_14;0.00851;-0.73145
SP by Walsh_15;-0.07923;-0.64393
SP by Walsh_16;0.15952;-0.72217
SP by Walsh_17;0.25628;-0.64775
SP by Walsh_18;0.06778;-0.58706
SP by Walsh_19;-0.04079;-0.72531
SPOC_0;-0.03008;0.36778
SPOC_1;-0.13807;0.69585
