election_id;x;y
Impartial Culture_0;-0.26206;-0.49968
Impartial Culture_1;-0.59886;0.02685
Impartial Culture_2;-0.43203;-0.38468
Impartial Culture_3;-0.35089;-0.35851
Impartial Culture_4;-0.41819;-0.20194
Impartial Culture_5;-0.63694;-0.02767
Impartial Culture_6;-0.27321;-0.3619
Impartial Culture_7;-0.56234;-0.23176
Impartial Culture_8;-0.34195;-0.29145
Impartial Culture_9;-0.16702;-0.20728
Impartial Culture_10;-0.49051;-0.31209
Impartial Culture_11;-0.58973;-0.08965
Impartial Culture_12;-0.48454;-0.2358
Impartial Culture_13;-0.57801;-0.16302
Impartial Culture_14;-0.42011;-0.29721
Impartial Culture_15;-0.19623;-0.35893
Impartial Culture_16;0.00267;-0.58781
Impartial Culture_17;-0.33265;-0.47659
Impartial Culture_18;-0.13753;-0.5336
Impartial Culture_19;-0.14209;-0.40839
SP by Conitzer_0;0.27246;0.72222
SP by Conitzer_1;0.30721;0.5362
SP by Conitzer_2;0.42334;0.38449
SP by Conitzer_3;0.33828;0.32548
SP by Conitzer_4;0.32345;0.45632
SP by Conitzer_5;0.18819;0.49043
SP by Conitzer_6;0.31719;0.39587
SP by Conitzer_7;0.32469;0.59701
SP by Conitzer_8;0.24832;0.39796
SP by Conitzer_9;0.38492;0.34869
SP by Conitzer_10;0.24562;0.51784
SP by Conitzer_11;0.21309;0.4441
SP by Conitzer_12;0.22141;0.68935
SP by Conitzer_13;0.37891;0.4223
SP by Conitzer_14;0.16994;0.54247
SP by Conitzer_15;0.25242;0.64853
SP by Conitzer_16;0.21511;0.56837
SP by Conitzer_17;0.26685;0.58526
SP by Conitzer_18;0.37242;0.56537
SP by Conitzer_19;0.37186;0.49435
SP by Walsh_0;0.78658;-0.11347
SP by Walsh_1;0.6444;0.08748
SP by Walsh_2;0.84079;0.07
SP by Walsh_3;0.71578;-0.09282
SP by Walsh_4;0.66642;0.02207
SP by Walsh_5;0.76733;0.10091
SP by Walsh_6;0.58528;-0.03703
SP by Walsh_7;0.6935;0.11557
SP by Walsh_8;0.66745;-0.04303
SP by Walsh_9;0.8442;-0.00323
SP by Walsh_10;0.63966;-0.15604
SP by Walsh_11;0.81017;-0.05379
SP by Walsh_12;0.62452;-0.09286
SP by Walsh_13;0.70153;-0.1494
SP by Walsh_14;0.73403;-0.02455
SP by Walsh_15;0.72755;0.16646
SP by Walsh_16;0.78763;0.02786
SP by Walsh_17;0.81821;0.13753
SP by Walsh_18;0.60369;0.0234
SP by Walsh_19;0.73201;0.03958
SPOC_0;-0.08925;0.24503
SPOC_1;-0.26867;0.40269
SPOC_2;-0.08196;0.44502
SPOC_3;-0.34064;0.39687
SPOC_4;-0.1544;0.22656
SPOC_5;-0.21507;0.4898
SPOC_6;-0.13827;0.4836
SPOC_7;-0.22535;0.34542
SPOC_8;-0.1794;0.55249
SPOC_9;-0.11145;0.32577
SPOC_10;-0.14388;0.39318
SPOC_11;-0.05596;0.38032
SPOC_12;-0.18043;0.30705
SPOC_13;-0.25909;0.5406
SPOC_14;0.01727;0.38602
SPOC_15;-0.28312;0.47563
SPOC_16;-0.0012;0.44951
SPOC_17;-0.20253;0.42221
SPOC_18;-0.22156;0.60709
SPOC_19;-0.05101;0.30219
Single-Crossing_0;0.62604;0.29544
Single-Crossing_1;0.54886;0.3708
Single-Crossing_2;0.46265;-0.06481
Single-Crossing_3;0.56942;0.15818
Single-Crossing_4;0.75587;0.32661
Single-Crossing_5;0.52217;-0.10182
Single-Crossing_6;0.47512;0.2482
Single-Crossing_7;0.5187;0.08576
Single-Crossing_8;0.48951;-0.00351
Single-Crossing_9;0.60756;0.21932
Single-Crossing_10;0.5402;0.22855
Single-Crossing_11;0.45674;0.07143
Single-Crossing_12;0.54561;0.29799
Single-Crossing_13;0.69117;0.38614
Single-Crossing_14;0.69586;0.30891
Single-Crossing_15;0.43309;0.17821
Single-Crossing_16;0.66824;0.23405
Single-Crossing_17;0.61569;0.37346
Single-Crossing_18;0.75016;0.24958
Single-Crossing_19;0.49715;0.15521
1D Interval_0;0.41452;0.60561
1D Interval_1;0.54606;0.46394
1D Interval_2;0.49079;0.57445
1D Interval_3;0.27698;0.47149
1D Interval_4;0.45691;0.64225
1D Interval_5;0.45923;0.43676
1D Interval_6;0.30889;0.65338
1D Interval_7;0.56706;0.55544
1D Interval_8;0.34668;0.7298
1D Interval_9;0.28211;0.34002
1D Interval_10;0.50533;0.50339
1D Interval_11;0.36689;0.65278
1D Interval_12;0.56864;0.7509
1D Interval_13;0.41399;0.68647
1D Interval_14;0.30705;0.79191
1D Interval_15;0.39806;0.74653
1D Interval_16;0.48946;0.71298
1D Interval_17;0.44113;0.55055
1D Interval_18;0.19491;0.62853
1D Interval_19;0.44272;0.49082
2D Disc_0;0.10014;0.38659
2D Disc_1;0.19034;0.15962
2D Disc_2;0.35544;0.22279
2D Disc_3;0.1276;0.21703
2D Disc_4;-0.01756;0.17698
2D Disc_5;0.28002;0.22604
2D Disc_6;0.256;0.16754
2D Disc_7;0.19245;0.07905
2D Disc_8;0.0786;0.45445
2D Disc_9;0.03825;0.109
2D Disc_10;0.06324;0.17375
2D Disc_11;0.04143;0.32141
2D Disc_12;0.26451;0.08402
2D Disc_13;0.10093;0.28392
2D Disc_14;0.19484;0.26251
2D Disc_15;0.37113;-0.00313
2D Disc_16;0.12734;0.12747
2D Disc_17;0.16808;-0.01157
2D Disc_18;0.15519;0.32307
2D Disc_19;0.02175;0.24408
3D Cube_0;0.26807;-0.11919
3D Cube_1;0.18241;-0.15616
3D Cube_2;0.0528;0.03886
3D Cube_3;0.14927;-0.08174
3D Cube_4;-0.02399;-0.01787
3D Cube_5;-0.16149;0.12994
3D Cube_6;0.37098;0.06568
3D Cube_7;-0.11978;-0.00351
3D Cube_8;-0.16765;0.05223
3D Cube_9;0.12079;0.04896
3D Cube_10;-0.06423;0.11889
3D Cube_11;-0.03597;-0.12154
3D Cube_12;0.05018;-0.08297
3D Cube_13;0.22695;-0.06668
3D Cube_14;-0.04594;0.04828
3D Cube_15;-0.25417;0.15663
3D Cube_16;0.30949;-0.05139
3D Cube_17;0.08595;-0.02377
3D Cube_18;0.25852;0.00367
3D Cube_19;0.31861;0.12598
2D Sphere_0;0.05944;0.67649
2D Sphere_1;-0.03363;0.78955
2D Sphere_2;-0.12259;0.79813
2D Sphere_3;-0.05265;0.60568
