instance_id;x;y
Impartial Culture_0;-422.73352;-367.95815
Impartial Culture_1;-496.96461;-328.32567
Impartial Culture_2;-418.01924;-414.98524
Impartial Culture_3;-529.83549;-117.24168
Impartial Culture_4;-520.62468;-152.93316
Impartial Culture_5;-609.05246;-24.43637
Impartial Culture_6;-373.8224;-358.49209
Impartial Culture_7;-613.2333;-50.03984
Impartial Culture_8;-449.07024;-306.49777
Impartial Culture_9;-264.41497;-368.48002
Impartial Culture_10;-577.58971;-146.90843
Impartial Culture_11;-571.46201;-170.83115
Impartial Culture_12;-566.73646;-98.09537
Impartial Culture_13;-533.63005;-298.70735
Impartial Culture_14;-498.71254;-269.6289
Impartial Culture_15;-364.98312;-300.14941
Impartial Culture_16;-226.32959;-471.91347
Impartial Culture_17;-562.91049;-227.7528
Impartial Culture_18;-360.6312;-405.90297
Impartial Culture_19;-346.58032;-334.31032
SP by Conitzer_0;65.1504;392.71894
SP by Conitzer_1;11.14858;278.3159
SP by Conitzer_2;95.00927;195.14876
SP by Conitzer_3;135.57536;212.84045
SP by Conitzer_4;31.83539;229.94637
SP by Conitzer_5;34.28478;287.78092
SP by Conitzer_6;115.47674;245.39942
SP by Conitzer_7;89.94003;331.9471
SP by Conitzer_8;74.93146;242.45478
SP by Conitzer_9;119.62914;195.98585
SP by Conitzer_10;69.66151;281.24779
SP by Conitzer_11;37.59785;258.53231
SP by Conitzer_12;35.42277;363.03564
SP by Conitzer_13;99.50421;222.09004
SP by Conitzer_14;17.13897;307.23797
SP by Conitzer_15;59.4309;363.50457
SP by Conitzer_16;53.33044;305.89696
SP by Conitzer_17;81.5878;307.68206
SP by Conitzer_18;125.4049;334.37567
SP by Conitzer_19;112.46879;275.17223
SP by Walsh_0;437.00542;-121.02909
SP by Walsh_1;275.0631;-97.56384
SP by Walsh_2;429.67148;-58.23954
SP by Walsh_3;340.99256;-170.5029
SP by Walsh_4;355.28811;-37.90472
SP by Walsh_5;342.13595;-83.11451
SP by Walsh_6;363.76571;-3.53498
SP by Walsh_7;323.73429;-31.29898
SP by Walsh_8;386.03805;-47.62462
SP by Walsh_9;383.86419;-156.13387
SP by Walsh_10;342.16379;-144.87004
SP by Walsh_11;409.57916;-131.86238
SP by Walsh_12;316.28882;-120.0371
SP by Walsh_13;423.53552;-84.23921
SP by Walsh_14;410.21126;-24.74376
SP by Walsh_15;294.73726;-32.8974
SP by Walsh_16;362.80487;-115.98118
SP by Walsh_17;302.07597;-160.95276
SP by Walsh_18;300.40072;-71.98598
SP by Walsh_19;379.04579;-81.6115
SPOC_0;-169.90534;159.0079
SPOC_1;-329.41543;242.26714
SPOC_2;-232.72264;159.666
SPOC_3;-382.67295;238.87814
SPOC_4;-260.77835;113.12566
SPOC_5;-291.97101;279.3726
SPOC_6;-276.51328;203.02155
SPOC_7;-284.88657;153.07534
SPOC_8;-298.04476;250.61902
SPOC_9;-188.88945;201.50299
SPOC_10;-225.55442;244.05184
SPOC_11;-158.74143;219.70344
SPOC_12;-247.82838;207.75365
SPOC_13;-340.35597;208.01291
SPOC_14;-123.93355;188.7669
SPOC_15;-334.88617;285.83272
SPOC_16;-198.8226;105.75128
SPOC_17;-308.62914;179.71435
SPOC_18;-296.18023;319.09703
SPOC_19;-201.64577;139.82633
Single-Crossing_0;266.54486;48.86808
Single-Crossing_1;260.58524;189.42725
Single-Crossing_2;219.75256;-65.59923
Single-Crossing_3;232.59297;37.74929
Single-Crossing_4;186.31582;-90.62859
Single-Crossing_5;387.76826;65.44621
Single-Crossing_6;192.89098;78.35674
Single-Crossing_7;183.57306;-34.64709
Single-Crossing_8;193.21547;-120.09347
Single-Crossing_9;320.63367;142.82758
Single-Crossing_10;264.72301;104.98953
Single-Crossing_11;316.05666;126.14077
Single-Crossing_12;223.35663;90.45544
Single-Crossing_13;342.48306;170.78649
Single-Crossing_14;316.84007;77.66498
Single-Crossing_15;167.82826;48.70206
Single-Crossing_16;227.2626;-5.61376
Single-Crossing_17;239.92529;128.96227
Single-Crossing_18;357.54932;92.37608
Single-Crossing_19;280.8592;131.91967
1D Interval_0;55.62863;230.58958
1D Interval_1;226.79822;251.93402
1D Interval_2;179.35278;311.37768
1D Interval_3;127.47937;303.40848
1D Interval_4;151.35686;351.19729
1D Interval_5;166.57497;254.99895
1D Interval_6;61.71502;335.96792
1D Interval_7;245.00033;287.28803
1D Interval_8;112.54759;406.83224
1D Interval_9;74.92049;185.05419
1D Interval_10;184.8553;229.55168
1D Interval_11;108.23504;359.09681
1D Interval_12;252.2438;414.926
1D Interval_13;142.64418;376.43439
1D Interval_14;77.12321;443.32349
1D Interval_15;143.35036;406.83913
1D Interval_16;187.52669;411.35152
1D Interval_17;159.92931;299.84342
