election_id_1;election_id_2;distance;time
2D Disc_2;Norm-Mallows 0.5_40;514;0
2D Disc_2;GS Caterpillar_0;620;0
2D Disc_2;SP by Conitzer_8;313;0
2D Disc_2;SPOC_16;435;0
2D Disc_2;GS Caterpillar_18;631;0
2D Disc_2;3D Cube_19;380;0
2D Disc_2;SPOC_4;466;0
2D Disc_2;SP by Walsh_4;431;0
2D Disc_2;3D Cube_14;417;0
2D Disc_2;3D Cube_15;455;0
2D Disc_2;Norm-Mallows 0.5_35;623;0
2D Disc_2;Urn_14;446;0
2D Disc_2;GS Caterpillar_3;611;0
2D Disc_2;GS Balanced_12;530;0
2D Disc_2;Urn_53;509;0
2D Disc_2;Urn_48;440;0
2D Disc_2;Norm-Mallows_0;552;0
2D Disc_2;Norm-Mallows 0.5_55;628;0
2D Disc_2;Norm-Mallows 0.5_50;532;0
2D Disc_2;Urn_35;625;0
2D Disc_2;Norm-Mallows_24;547;0
2D Disc_2;Norm-Mallows_19;578;0
2D Disc_2;GS Balanced_2;429;0
2D Disc_2;Norm-Mallows_31;621;0
2D Disc_2;2D Sphere_0;427;0
2D Disc_2;Norm-Mallows 0.5_49;469;0
2D Disc_2;Norm-Mallows_59;633;0
2D Disc_2;Impartial Culture_9;620;0
2D Disc_2;Norm-Mallows_47;598;0
2D Disc_2;Norm-Mallows 0.25_36;479;0
2D Disc_2;GS Balanced_5;527;0
2D Disc_2;Norm-Mallows 0.5_38;475;0
2D Disc_2;Norm-Mallows_40;579;0
2D Disc_2;Norm-Mallows 0.25_50;501;0
2D Disc_2;Impartial Culture_4;637;0
2D Disc_2;Impartial Culture_14;636;0
2D Disc_2;Impartial Culture_0;639;0
2D Disc_2;2D Disc_18;313;0
2D Disc_2;Impartial Culture_19;631;0
2D Disc_2;2D Sphere_17;453;0
2D Disc_2;Norm-Mallows 0.25_0;623;0
2D Disc_2;GS Caterpillar_19;589;0
2D Disc_2;Norm-Mallows 0.25_54;549;0
2D Disc_2;SP by Conitzer_15;330;0
2D Disc_2;Impartial Culture_13;660;0
2D Disc_2;SP by Walsh_5;444;0
2D Disc_2;Norm-Mallows 0.25_32;636;0
2D Disc_2;Norm-Mallows_3;712;0
2D Disc_2;Urn_33;637;0
2D Disc_2;Norm-Mallows 0.25_24;542;0
2D Disc_2;SP by Conitzer_11;325;0
2D Disc_2;Norm-Mallows 0.5_33;637;0
2D Disc_2;GS Balanced_19;529;0
2D Disc_2;SPOC_0;448;0
2D Disc_2;Single-Crossing_18;388;0
2D Disc_2;GS Caterpillar_11;609;0
2D Disc_2;Norm-Mallows 0.25_18;489;0
2D Disc_2;GS Caterpillar_17;625;0
2D Disc_2;Norm-Mallows 0.25_43;543;0
2D Disc_2;SP by Conitzer_19;327;0
2D Disc_2;1D Interval_6;332;0
2D Disc_2;Single-Crossing_12;355;0
2D Disc_2;GS Caterpillar_15;621;0
2D Disc_2;SP by Walsh_19;449;0
2D Disc_2;Norm-Mallows 0.5_16;548;0
2D Disc_2;Norm-Mallows_4;566;0
2D Disc_2;Norm-Mallows_50;622;0
2D Disc_2;1D Interval_15;344;0
2D Disc_2;Norm-Mallows_43;570;0
2D Disc_2;Norm-Mallows 0.25_56;631;0
2D Disc_2;3D Cube_12;425;0
2D Disc_2;Norm-Mallows_5;639;0
2D Disc_2;GS Balanced_16;513;0
2D Disc_2;UN;649;0
2D Disc_2;Single-Crossing_15;366;0
2D Disc_2;Urn_46;484;0
2D Disc_2;GS Balanced_0;476;0
2D Disc_2;Norm-Mallows_37;636;0
2D Disc_2;Impartial Culture_11;649;0
2D Disc_2;Norm-Mallows 0.5_23;558;0
2D Disc_2;2D Sphere_9;468;0
2D Disc_2;2D Disc_1;409;0
2D Disc_2;Urn_18;602;0
2D Disc_2;2D Disc_3;388;0
2D Disc_2;GS Caterpillar_9;577;0
