instance_id;value;time
Impartial Culture_0;265;0.0
Impartial Culture_1;255;0.0009922981262207031
Impartial Culture_2;254;0.0
Impartial Culture_3;245;0.0
Impartial Culture_4;249;0.0
Impartial Culture_5;249;0.0010190010070800781
Impartial Culture_6;265;0.0
Impartial Culture_7;243;0.0
Impartial Culture_8;247;0.0
Impartial Culture_9;281;0.0
Impartial Culture_10;250;0.0
Impartial Culture_11;251;0.0009877681732177734
Impartial Culture_12;255;0.0
Impartial Culture_13;243;0.0
Impartial Culture_14;245;0.0
Impartial Culture_15;261;0.0
Impartial Culture_16;271;0.0
Impartial Culture_17;245;0.0
Impartial Culture_18;259;0.0
Impartial Culture_19;265;0.0010237693786621094
SP by Conitzer_0;274;0.0
SP by Conitzer_1;287;0.0
SP by Conitzer_2;305;0.0
SP by Conitzer_3;304;0.0
SP by Conitzer_4;286;0.0
SP by Conitzer_5;286;0.0
SP by Conitzer_6;294;0.0
SP by Conitzer_7;285;0.0010006427764892578
SP by Conitzer_8;295;0.0
SP by Conitzer_9;300;0.0
SP by Conitzer_10;287;0.0
SP by Conitzer_11;291;0.0
SP by Conitzer_12;271;0.0
SP by Conitzer_13;299;0.0
SP by Conitzer_14;282;0.0009987354278564453
SP by Conitzer_15;276;0.0
SP by Conitzer_16;285;0.0
SP by Conitzer_17;287;0.0
SP by Conitzer_18;290;0.0
SP by Conitzer_19;295;0.0
SP by Walsh_0;385;0.0009999275207519531
SP by Walsh_1;363;0.0
SP by Walsh_2;370;0.0
SP by Walsh_3;375;0.0
SP by Walsh_4;361;0.0
SP by Walsh_5;369;0.0
SP by Walsh_6;366;0.0
SP by Walsh_7;358;0.0010006427764892578
SP by Walsh_8;376;0.0
SP by Walsh_9;389;0.0
SP by Walsh_10;375;0.0
SP by Walsh_11;377;0.0
SP by Walsh_12;369;0.0
SP by Walsh_13;372;0.0
SP by Walsh_14;368;0.0
SP by Walsh_15;351;0.00099945068359375
SP by Walsh_16;369;0.0
SP by Walsh_17;371;0.0
SP by Walsh_18;361;0.0
SP by Walsh_19;366;0.0
SPOC_0;264;0.0
SPOC_1;257;0.0
SPOC_2;265;0.0
SPOC_3;235;0.0010013580322265625
SPOC_4;262;0.0
SPOC_5;246;0.0
SPOC_6;250;0.0
SPOC_7;252;0.0
SPOC_8;247;0.0
SPOC_9;262;0.0
SPOC_10;254;0.0009703636169433594
SPOC_11;271;0.0
SPOC_12;246;0.0
SPOC_13;243;0.0
SPOC_14;278;0.0010006427764892578
SPOC_15;245;0.0
SPOC_16;274;0.0
SPOC_17;255;0.0
SPOC_18;240;0.0
SPOC_19;272;0.001003265380859375
Single-Crossing_0;364;0.0
Single-Crossing_1;316;0.0
Single-Crossing_2;366;0.0
Single-Crossing_3;362;0.0
Single-Crossing_4;340;0.0
Single-Crossing_5;400;0.0010063648223876953
Single-Crossing_6;335;0.0
Single-Crossing_7;381;0.0
Single-Crossing_8;390;0.0
Single-Crossing_9;369;0.0
Single-Crossing_10;350;0.0
Single-Crossing_11;360;0.0
Single-Crossing_12;372;0.001018524169921875
Single-Crossing_13;388;0.0
Single-Crossing_14;374;0.0
Single-Crossing_15;366;0.0
Single-Crossing_16;356;0.0
Single-Crossing_17;350;0.0
Single-Crossing_18;365;0.0
Single-Crossing_19;352;0.0009999275207519531
1D Interval_0;298;0.0
1D Interval_1;323;0.0
1D Interval_2;296;0.0
1D Interval_3;285;0.0
1D Interval_4;290;0.0
1D Interval_5;301;0.0
1D Interval_6;287;0.0
1D Interval_7;305;0.0010027885437011719
1D Interval_8;284;0.0
1D Interval_9;290;0.0
1D Interval_10;299;0.0
1D Interval_11;294;0.0
1D Interval_12;282;0.0
1D Interval_13;284;0.0
1D Interval_14;270;0.0
1D Interval_15;276;0.000997304916381836
1D Interval_16;280;0.0
1D Interval_17;291;0.0
1D Interval_18;277;0.0
1D Interval_19;293;0.0
2D Disc_0;293;0.0
2D Disc_1;303;0.0
2D Disc_2;328;0.0
2D Disc_3;307;0.0009996891021728516
2D Disc_4;330;0.0
2D Disc_5;303;0.0
2D Disc_6;313;0.0
2D Disc_7;345;0.0
2D Disc_8;323;0.0
2D Disc_9;326;0.0
2D Disc_10;318;0.0
