instance_id;x;y
1D Uniform_0;0.75221;-0.36617
1D Uniform_1;0.54513;-0.34059
1D Uniform_2;-0.08394;-0.69553
1D Uniform_3;0.56584;-0.00539
1D Uniform_4;0.44565;-0.41695
1D Uniform_5;0.33709;0.18694
1D Uniform_6;-0.40844;0.87412
1D Uniform_7;-0.21071;-0.61624
1D Uniform_8;-0.60844;0.33092
1D Uniform_9;0.14703;-0.80484
1D Uniform_10;0.53892;0.07231
1D Uniform_11;-0.47676;-0.34679
1D Uniform_12;-0.0858;-0.481
1D Uniform_13;-0.40227;0.2193
1D Uniform_14;-0.13781;0.60388
1D Uniform_15;0.22666;0.22229
1D Uniform_16;0.65469;0.05627
1D Uniform_17;-0.48769;-0.21597
1D Uniform_18;-0.62053;0.49647
1D Uniform_19;-0.60559;-0.50526
1D Uniform_20;0.36434;0.478
1D Uniform_21;-0.40994;-0.16971
1D Uniform_22;0.52822;-0.08509
1D Uniform_23;-0.55956;0.77742
1D Uniform_24;-0.03969;-0.8107
1D Uniform_25;0.44973;0.3875
1D Uniform_26;0.19144;0.59546
1D Uniform_27;0.6515;-0.576
1D Uniform_28;0.06725;-0.76313
1D Uniform_29;0.33025;0.39338
1D Uniform_30;0.30082;-0.27791
1D Uniform_31;0.33929;-0.59124
1D Uniform_32;-0.74852;0.50671
1D Uniform_33;0.31115;-0.41518
1D Uniform_34;0.50665;-0.23496
1D Uniform_35;-0.50682;0.04894
1D Uniform_36;-0.47568;0.47514
1D Uniform_37;0.5574;0.2475
1D Uniform_38;-0.28646;-0.7247
1D Uniform_39;-0.18257;-0.52268
1D Uniform_40;0.75358;-0.18433
1D Uniform_41;0.00837;0.21316
1D Uniform_42;-0.35377;0.52017
1D Uniform_43;-0.31845;0.18491
1D Uniform_44;-0.01718;-0.60037
1D Uniform_45;0.61973;-0.27598
1D Uniform_46;-0.69091;-0.21781
1D Uniform_47;0.53204;-0.44075
1D Uniform_48;0.46518;-0.31006
1D Uniform_49;0.02001;-0.69597
1D Uniform_50;-0.48067;0.54957
