instance_id;x;y
1D Uniform_0;-4.61967;-10.28334
1D Uniform_1;-4.36553;-7.52826
1D Uniform_2;-9.71608;-0.16245
1D Uniform_3;0.12396;-7.89217
1D Uniform_4;-5.16104;-6.85681
1D Uniform_5;2.54797;-4.83329
1D Uniform_6;12.10984;8.22623
1D Uniform_7;-8.89808;1.61499
1D Uniform_8;4.56335;8.91468
1D Uniform_9;-10.65364;-3.3682
1D Uniform_10;0.77355;-7.4227
1D Uniform_11;-5.3679;5.82643
1D Uniform_12;-6.71124;0.21466
1D Uniform_13;2.57823;5.65496
1D Uniform_14;8.14831;3.59279
1D Uniform_15;2.96186;-3.06601
1D Uniform_16;0.7042;-8.8122
1D Uniform_17;-3.13471;6.19199
1D Uniform_18;7.08768;9.33516
1D Uniform_19;-8.38185;6.71776
1D Uniform_20;6.2019;-4.05916
1D Uniform_21;-2.55064;5.0255
1D Uniform_22;-1.65012;-5.87708
1D Uniform_23;10.73422;9.89732
1D Uniform_24;-11.21479;-0.86579
1D Uniform_25;5.08327;-5.0562
1D Uniform_26;8.4461;-1.27271
1D Uniform_27;-7.84076;-9.14377
1D Uniform_28;-10.18829;-2.3271
1D Uniform_29;5.27687;-3.53492
1D Uniform_30;-3.60396;-4.76859
1D Uniform_31;-7.33036;-5.94985
1D Uniform_32;7.08934;11.11846
1D Uniform_33;-5.05368;-5.88464
1D Uniform_34;-3.05668;-6.91033
1D Uniform_35;0.07659;6.77929
1D Uniform_36;7.31542;7.26069
1D Uniform_37;3.16976;-7.00998
1D Uniform_38;-10.55874;2.77033
1D Uniform_39;-7.41625;1.48874
1D Uniform_40;-2.23274;-9.96479
1D Uniform_41;2.65308;0.09713
1D Uniform_42;7.96896;5.41768
1D Uniform_43;2.18252;4.63863
1D Uniform_44;-8.42058;-1.42326
1D Uniform_45;-3.34066;-9.02777
1D Uniform_46;-3.40906;8.62201
1D Uniform_47;-5.47474;-8.13118
1D Uniform_48;-3.33253;-7.83859
1D Uniform_49;-9.4652;-1.81209
1D Uniform_50;6.69835;7.6609
1D Uniform_51;-5.16939;4.07198
1D Uniform_52;11.49681;12.94262
1D Uniform_53;3.09282;2.75945
1D Uniform_54;-0.409;-0.48428
1D Uniform_55;11.23113;0.49858
1D Uniform_56;-5.21338;-9.61884
1D Uniform_57;2.82218;3.4199
1D Uniform_58;-1.26319;1.76136
1D Uniform_59;-0.96626;-3.42852
1D Uniform_60;9.03741;-1.41126
1D Uniform_61;8.82015;2.15839
1D Uniform_62;8.36715;7.1836
1D Uniform_63;-8.66658;-2.32836
1D Uniform_64;5.25405;2.7017
1D Uniform_65;-5.70734;7.51909
1D Uniform_66;3.53833;-3.87386
1D Uniform_67;-7.7455;-7.02765
1D Uniform_68;-0.08151;-0.95334
1D Uniform_69;-1.2708;-8.95737
1D Uniform_70;-4.1374;-3.66449
1D Uniform_71;-9.88846;1.18529
1D Uniform_72;1.12849;-6.05954
1D Uniform_73;-5.81801;-3.14192
1D Uniform_74;10.62411;4.14015
1D Uniform_75;-2.01297;2.61621
1D Uniform_76;-0.17916;3.10014
1D Uniform_77;-1.95131;5.15953
1D Uniform_78;7.31434;-0.9245
1D Uniform_79;-0.46523;7.30512
1D Uniform_80;-2.45045;-8.28735
1D Uniform_81;8.83071;6.46928
1D Uniform_82;6.0345;-5.32699
1D Uniform_83;-6.56409;-7.5902
1D Uniform_84;1.29409;10.66887
1D Uniform_85;-0.74983;-9.88336
1D Uniform_86;6.91015;4.55255
1D Uniform_87;1.53028;11.09131
1D Uniform_88;7.39541;6.20265
1D Uniform_89;-2.02305;-3.71768
1D Uniform_90;-2.01305;-8.6151
1D Uniform_91;-4.35355;2.62389
1D Uniform_92;0.57015;0.16513
1D Uniform_93;12.83987;5.85655
1D Uniform_94;-5.998;-5.93452
1D Uniform_95;13.14203;4.45407
1D Uniform_96;2.53812;-1.97865
1D Uniform_97;2.52131;7.52524
1D Uniform_98;1.56054;5.38776
1D Uniform_99;0.69596;-2.90082
1D Uniform_100;-3.02509;-5.66785
1D Uniform_101;4.38549;4.36084
1D Uniform_102;-8.10894;-8.13946
1D Uniform_103;-2.31262;-5.65913
1D Uniform_104;6.44756;10.49186
1D Uniform_105;3.93529;12.20161
1D Uniform_106;-2.77533;7.07551
1D Uniform_107;3.70968;11.72231
1D Uniform_108;10.58626;13.62387
1D Uniform_109;-2.53825;3.5098
1D Uniform_110;-7.47399;3.30178
1D Uniform_111;-7.41633;-5.26687
1D Uniform_112;-3.0629;4.35801
1D Uniform_113;4.47863;11.50718
1D Uniform_114;10.06312;1.55928
1D Uniform_115;7.09776;2.50163
1D Uniform_116;2.86531;-6.1038
1D Uniform_117;13.12194;7.70054
1D Uniform_118;1.50655;-9.6052
1D Uniform_119;-2.94215;8.23302
1D Uniform_120;-0.87592;-7.49283
1D Uniform_121;0.02057;-8.89637
1D Uniform_122;1.94969;8.82814
1D Uniform_123;8.51212;-2.09419
1D Uniform_124;-0.84128;8.92735
1D Uniform_125;5.27145;4.36262
1D Uniform_126;-2.76654;-1.76744
1D Uniform_127;2.06032;2.26188
1D Uniform_128;1.97694;9.8889
1D Uniform_129;-4.28919;-1.01911
1D Uniform_130;4.975;-1.35611
1D Uniform_131;-6.55413;2.15225
1D Uniform_132;3.52024;-5.3339
1D Uniform_133;-0.84054;-4.47694
1D Uniform_134;-5.77225;-8.85085
1D Uniform_135;-0.47847;-2.91722
1D Uniform_136;-5.24634;-5.28438
1D Uniform_137;-3.61398;7.60248
1D Uniform_138;4.81923;7.37691
1D Uniform_139;-10.48446;4.73525
1D Uniform_140;-1.40881;-6.77901
1D Uniform_141;0.79136;-0.63299
1D Uniform_142;10.20603;5.13962
1D Uniform_143;2.10012;-5.567
1D Uniform_144;0.80226;3.65992
1D Uniform_145;0.10867;-5.99172
1D Uniform_146;4.88232;5.80205
1D Uniform_147;0.06818;-4.32346
1D Uniform_148;-0.18782;5.26714
1D Uniform_149;2.58749;-8.31727
1D Uniform_150;-6.20035;0.93811
1D Uniform_151;7.63;4.13188
1D Uniform_152;-5.872;-4.57293
1D Uniform_153;9.40152;0.10856
1D Uniform_154;-9.58671;3.22555
1D Uniform_155;-6.57034;-8.6187
1D Uniform_156;-7.63415;4.89443
1D Uniform_157;8.93686;4.16495
1D Uniform_158;-9.95582;-4.19827
1D Uniform_159;-4.19854;-10.41433
1D Uniform_160;-7.39762;-7.72096
1D Uniform_161;-12.78174;4.20101
1D Uniform_162;7.90404;9.58772
1D Uniform_163;9.30196;11.82948
1D Uniform_164;-8.14925;-3.95058
1D Uniform_165;-12.49187;2.92367
1D Uniform_166;5.32671;-2.29476
1D Uniform_167;-8.13851;5.45981
1D Uniform_168;-9.18812;-3.57956
1D Uniform_169;1.89187;-7.91998
1D Uniform_170;-7.53657;6.28447
1D Uniform_171;-0.59676;-6.03978
1D Uniform_172;1.20848;-4.82022
1D Uniform_173;-6.91113;-1.63449
1D Uniform_174;1.71356;-8.66259
1D Uniform_175;-1.31751;-10.20004
1D Uniform_176;-4.76739;-8.96604
1D Uniform_177;4.84116;0.94116
1D Uniform_178;13.10816;10.85002
1D Uniform_179;-6.60202;-10.1191
1D Uniform_180;7.78333;0.98276
1D Uniform_181;-3.55491;-2.05438
1D Uniform_182;3.02339;1.58329
1D Uniform_183;4.4711;-5.70444
1D Uniform_184;-2.61525;-3.40906
1D Uniform_185;-4.42307;1.78242
1D Uniform_186;12.58124;11.63905
1D Uniform_187;-8.88074;-4.72304
1D Uniform_188;-8.41836;-6.15256
1D Uniform_189;-3.85754;-9.74755
1D Uniform_190;-6.09364;-1.8188
1D Uniform_191;-4.24832;-3.15864
1D Uniform_192;0.40921;-1.4968
1D Uniform_193;6.15582;-3.1032
1D Uniform_194;12.44143;12.58888
1D Uniform_195;-3.71682;0.75072
