instance_id;x;y
1D Uniform_0;7.58253;6.67656
1D Uniform_1;6.86804;5.31891
1D Uniform_2;8.34469;-3.58221
1D Uniform_3;3.18068;6.44727
1D Uniform_4;7.3022;4.40945
1D Uniform_5;-0.37821;5.98504
1D Uniform_6;-13.59793;-2.63466
1D Uniform_7;7.19542;-4.92653
1D Uniform_8;-7.60804;-5.93203
1D Uniform_9;9.84512;-1.27951
1D Uniform_10;2.28886;6.91899
1D Uniform_11;2.41455;-7.03329
1D Uniform_12;5.88002;-3.07589
1D Uniform_13;-4.30475;-3.90555
1D Uniform_14;-8.53168;-0.34222
1D Uniform_15;-1.31128;4.31137
1D Uniform_16;2.57182;7.50979
1D Uniform_17;0.13547;-6.5876
1D Uniform_18;-9.97495;-5.61954
1D Uniform_19;4.62826;-8.84902
1D Uniform_20;-3.616;5.43288
1D Uniform_21;0.33066;-5.43932
1D Uniform_22;3.85797;5.21498
1D Uniform_23;-13.2607;-4.69497
1D Uniform_24;9.54637;-3.4216
1D Uniform_25;-2.18618;6.00888
1D Uniform_26;-6.7665;3.99959
1D Uniform_27;9.76531;4.76333
1D Uniform_28;9.33089;-1.90661
1D Uniform_29;-3.07264;5.31476
1D Uniform_30;5.10125;3.56972
1D Uniform_31;8.68695;2.40503
1D Uniform_32;-10.56013;-6.73614
1D Uniform_33;7.18302;3.44665
1D Uniform_34;5.41812;5.43414
1D Uniform_35;-2.53717;-6.00558
1D Uniform_36;-9.32059;-3.20689
1D Uniform_37;0.07853;6.95895
1D Uniform_38;7.79293;-6.44509
1D Uniform_39;5.96671;-4.18875
1D Uniform_40;5.59748;7.22222
1D Uniform_41;-2.34207;1.05591
1D Uniform_42;-9.00344;-1.71495
1D Uniform_43;-3.75387;-3.37592
1D Uniform_44;8.29541;-1.80949
1D Uniform_45;6.34782;6.30689
1D Uniform_46;-0.43786;-8.51536
1D Uniform_47;7.73967;5.13659
1D Uniform_48;5.99472;5.75571
1D Uniform_49;8.90059;-2.14369
1D Uniform_50;-9.21097;-3.5614
1D Uniform_51;2.95601;-5.51995
1D Uniform_52;-15.43782;-6.83793
1D Uniform_53;-3.73759;-1.64032
1D Uniform_54;0.25613;1.304
1D Uniform_55;-9.61891;3.64702
1D Uniform_56;7.83813;6.05332
1D Uniform_57;-3.90016;-1.78415
1D Uniform_58;0.52923;-2.3769
1D Uniform_59;2.26532;3.351
1D Uniform_60;-7.11333;4.04585
1D Uniform_61;-8.3594;1.33122
1D Uniform_62;-9.62397;-3.06521
1D Uniform_63;8.6188;-1.24197
1D Uniform_64;-5.83048;-0.4685
1D Uniform_65;2.07911;-8.69294
1D Uniform_66;-1.48077;5.25441
1D Uniform_67;9.08545;3.43782
1D Uniform_68;0.52652;0.89159
1D Uniform_69;4.55219;6.9851
1D Uniform_70;5.30613;1.74809
1D Uniform_71;7.8332;-4.87544
1D Uniform_72;1.52142;5.76957
1D Uniform_73;6.65128;0.89366
1D Uniform_74;-10.58704;-0.18462
1D Uniform_75;0.84264;-3.3893
1D Uniform_76;-1.0287;-3.00657
1D Uniform_77;0.04753;-5.41363
1D Uniform_78;-6.0731;3.63798
1D Uniform_79;-2.39453;-6.37752
1D Uniform_80;5.51236;6.28925
1D Uniform_81;-9.72452;-2.43761
1D Uniform_82;-2.95845;6.3209
1D Uniform_83;8.40218;4.40338
1D Uniform_84;-5.5612;-8.64688
1D Uniform_85;4.34179;7.67006
1D Uniform_86;-8.2718;-0.95825
1D Uniform_87;-5.7854;-8.96842
1D Uniform_88;-9.23302;-2.18366
1D Uniform_89;3.65742;2.82366
1D Uniform_90;5.05318;6.3826
1D Uniform_91;2.89134;-4.04416
1D Uniform_92;-0.42276;0.24848
1D Uniform_93;-13.17565;-0.41697
1D Uniform_94;7.69344;3.21642
1D Uniform_95;-12.95065;0.76145
1D Uniform_96;-1.45;3.20058
1D Uniform_97;-5.12154;-5.63732
1D Uniform_98;-3.57779;-4.01197
1D Uniform_99;0.84552;3.49035
1D Uniform_100;4.89677;4.70755
1D Uniform_101;-5.67251;-2.07325
1D Uniform_102;9.48675;4.2419
1D Uniform_103;4.35537;4.78793
1D Uniform_104;-10.11203;-6.54045
1D Uniform_105;-8.44163;-8.95859
1D Uniform_106;-0.1376;-7.29876
1D Uniform_107;-8.43564;-8.64124
1D Uniform_108;-15.24266;-7.15682
1D Uniform_109;0.91492;-4.25896
1D Uniform_110;5.39772;-5.75994
1D Uniform_111;8.56191;2.03303
1D Uniform_112;0.73654;-4.93139
1D Uniform_113;-8.445;-8.37668
1D Uniform_114;-9.07918;2.25804
1D Uniform_115;-7.45564;0.4827
1D Uniform_116;-0.05501;5.98801
1D Uniform_117;-14.20839;-1.80416
1D Uniform_118;1.98869;8.30952
1D Uniform_119;-0.33092;-8.10778
1D Uniform_120;3.68488;6.43708
1D Uniform_121;3.15131;7.20612
1D Uniform_122;-5.30658;-6.90758
1D Uniform_123;-6.65984;4.5597
1D Uniform_124;-2.71003;-7.91566
1D Uniform_125;-6.42497;-1.78917
1D Uniform_126;3.38274;0.65421
1D Uniform_127;-3.03671;-1.1631
1D Uniform_128;-5.60225;-7.86196
1D Uniform_129;4.4312;-0.58106
1D Uniform_130;-3.8558;3.61071
1D Uniform_131;5.17745;-4.4312
1D Uniform_132;-0.81938;5.93578
1D Uniform_133;2.63529;4.16218
1D Uniform_134;8.17169;5.08021
1D Uniform_135;1.91203;3.02303
1D Uniform_136;6.87697;3.59111
1D Uniform_137;-0.14194;-7.80997
1D Uniform_138;-7.26093;-4.45818
1D Uniform_139;7.36096;-7.98773
1D Uniform_140;3.86614;5.75654
1D Uniform_141;-0.12997;0.95497
1D Uniform_142;-10.59338;-0.65434
1D Uniform_143;0.36333;5.94325
1D Uniform_144;-2.1793;-3.12984
1D Uniform_145;2.27543;5.86425
1D Uniform_146;-6.76361;-2.85609
1D Uniform_147;2.01104;4.47982
1D Uniform_148;-1.79937;-4.89198
1D Uniform_149;1.06888;7.69847
1D Uniform_150;5.44479;-3.49139
1D Uniform_151;-8.41275;-0.73089
1D Uniform_152;7.30526;2.37417
1D Uniform_153;-8.04077;3.32933
1D Uniform_154;7.23374;-6.41034
1D Uniform_155;8.60337;4.73424
1D Uniform_156;4.90381;-7.39274
1D Uniform_157;-9.07283;-0.49811
1D Uniform_158;9.66558;-0.47104
1D Uniform_159;8.30359;5.44816
1D Uniform_160;9.11336;3.86305
1D Uniform_161;9.4905;-8.53215
1D Uniform_162;-10.42093;-5.65551
1D Uniform_163;-13.05049;-6.71237
1D Uniform_164;8.88585;0.33151
1D Uniform_165;9.41982;-7.45906
1D Uniform_166;-3.63039;4.20809
1D Uniform_167;4.7582;-7.73364
1D Uniform_168;9.15882;-0.50711
1D Uniform_169;1.4892;7.50417
1D Uniform_170;4.46872;-8.29505
1D Uniform_171;3.13972;5.3747
1D Uniform_172;1.01538;5.5468
1D Uniform_173;6.99385;-1.19266
1D Uniform_174;1.79607;7.61136
1D Uniform_175;4.7738;7.85172
1D Uniform_176;7.44097;5.81445
1D Uniform_177;-4.70039;1.08652
1D Uniform_178;-15.46775;-5.28611
1D Uniform_179;9.23143;5.7318
1D Uniform_180;-7.25942;2.10391
1D Uniform_181;4.20891;0.83316
1D Uniform_182;-3.20772;-0.48661
1D Uniform_183;-1.54104;6.37039
1D Uniform_184;3.7785;2.42044
1D Uniform_185;3.30559;-3.53126
1D Uniform_186;-15.35984;-6.22413
1D Uniform_187;9.0641;0.48054
1D Uniform_188;9.29169;2.14806
1D Uniform_189;7.20666;6.37254
1D Uniform_190;6.51534;-0.79344
1D Uniform_191;5.27048;1.52568
1D Uniform_192;0.50027;1.62874
1D Uniform_193;-4.00167;4.92709
1D Uniform_194;-15.46908;-6.67784
1D Uniform_195;3.27758;-2.35631
1D Uniform_196;2.48387;0.08439
1D Uniform_197;-2.17808;2.91298
1D Uniform_198;-1.17493;7.24973
1D Uniform_199;-5.67278;2.75298
ID;-16.84743;-9.61894
UN;11.90033;7.05575
AN;9.65536;-9.36934
ST;-13.67883;8.68204
